model,mean_prediction_loss,mean_reconstruction_loss
persistence,230.47926330566406,0.0
pca_codec,524.2716064453125,1.6286272330745533e-10
random_projection,524.4909057617188,16.014015197753906
ewma,141.8318634033203,0.0
