model,mean_prediction_loss,mean_reconstruction_loss,parameter_count
persistence,184.9776611328125,0.0,
pca_codec,463.82379150390625,8.77243763741653e-11,
random_projection,477.85516357421875,66.24418640136719,
ewma,169.2637481689453,0.0,
dense_autoencoder,536.3521728515625,548.8662719726562,494.0
reservoir_esn,542.31591540162,0.0,1408.0
matrix_profile_neighbor,526.0848388671875,0.0,
