model,mean_prediction_loss,mean_reconstruction_loss
persistence,184.9776611328125,0.0
pca_codec,463.82379150390625,3.3130994475660813e-11
random_projection,477.8551330566406,66.24417877197266
ewma,169.2637481689453,0.0
